year,month,corn_production,ammophos_price,ammosul_price,complete_price,urea_price,temp,dew,humidity,precip,precipprob,precipcover,windgust,windspeed,sealevelpressure,visibility,solarradiation,uvindex,severerisk,cloudcover,conditions,farmgate_corngrains_price,wholesale_corngrits_price,wholesale_corngrains_price
2025,1,865.5058000686695,638.4735465770937,393.99980713052355,653.4500262624497,696.638354498471,27.791259789174305,23.873618422436778,80.28665380105036,5.050945363147832,50.1105301229461,3.695912833804016,31.133643583308185,16.251257718142995,1009.7030692501475,12.8389707067563,246.60371404922807,8.100434117950556,32.50605152841274,75.13010459328939,1.4456577827827886,7.502280248751276,11.802168805315318,7.797689047054064
2025,2,1737.6765840514563,1170.196976461113,669.7270668571291,1330.4326765176666,1255.6484677103726,28.027308066124156,24.350438137797852,81.42902001118165,5.656078533065369,62.76147752605334,4.941902143644171,27.933207622707698,16.75579821225982,1009.2728716498099,10.884478878894129,207.38112491009633,7.405921129614427,32.244244678478935,71.58689974424681,1.7260773814798966,12.709219356213111,21.62250089237432,15.259892585396415
2025,3,1045.0876813989598,753.4587465127697,449.0267401320307,775.9950453166384,807.6924426289916,28.023642842397393,24.349826591939433,81.20829552995673,5.537224756779267,54.494059424425814,3.922019591093118,30.29239066938578,15.0734230706841,1008.9704440379653,12.358915455325473,232.30377460585714,7.7858414112047,32.59300336811543,77.07664550093568,1.5399917204115923,8.07219656139182,13.010320504544552,8.81976785368363
2025,4,2334.227135767811,1325.1922362300538,763.6828981663275,1478.0498564439622,1441.2293550520844,28.074824878379097,24.451977170292423,81.62266365264634,5.87324967502866,64.11765169972773,5.238415212806615,27.264535067904717,17.16380047321735,1009.1960107311946,9.784457304315424,200.15415039807158,7.235340893508436,31.23773630280391,72.40117693224204,1.7805994397580633,13.574113939871154,23.066792072298654,16.596529692605145
2025,5,2686.3434661529027,1462.385296168577,841.9854682819932,1646.831687619997,1598.4772259198216,28.0375353235828,24.375248468542097,81.53057817641505,5.8664684732550825,65.72395027778794,5.557666596239073,26.607888474050355,18.03018373816016,1009.4218436453987,9.118949153791164,194.4461192904928,7.149669262979444,30.76540163383845,70.793472000571,1.826377366004742,14.961536761817797,25.549986776418905,18.51711686052579
2025,6,-217.5222589529585,332.21828144049505,213.18118726362445,353.99504981478094,338.52244377140596,27.647440951025885,23.571992452020737,79.70185531479055,4.546509817966154,46.39316508927527,3.1023603192486178,32.56333656179601,15.82943859834181,1010.0237950608848,14.8816213274838,263.44779693112287,8.486183692860038,34.20581064323619,73.36574862663792,1.322296163150547,5.750279393427945,8.783713420973754,5.071506286096792
2025,7,912.4720501591219,617.2348869910493,385.9907262218694,613.0946856285736,679.1922107565042,27.787037262387848,23.86681137148996,80.2459273013614,5.056818455622874,49.138373203231595,3.627639913790574,31.316528060767723,16.220570551489686,1009.6955054870353,12.786249972889777,248.85057847258577,8.126476859951964,32.300998989273126,75.87027701599266,1.4298300876249144,7.105629107619279,11.016724858688349,7.2642866418872245
2025,8,447.20178676152136,577.1004745456885,347.77504234290245,610.787962702816,607.204065730577,27.86034151861633,24.010949047685898,80.56829069111191,5.094263006710037,51.48565514897814,3.5948751242419803,31.197628565707248,15.408705654412032,1009.4373110763909,13.526391518064315,244.8105206844375,8.081745736324848,33.449820036216806,74.9948158644496,1.4525151254422255,7.26428031704927,11.58109885832107,7.454525752400855
2025,9,-1061.203365872323,143.58191996859387,91.44555105259496,175.2946414474718,98.9629930818046,27.712822976641192,23.699843785144466,79.94420700101017,4.496734612953873,46.56093195347694,2.735499153223458,33.19516523301269,14.422559158800212,1009.6914345734789,16.35689704390677,267.13886608323446,8.577974872742686,35.826796337817086,73.51025578544147,1.2864358171681758,4.554523783124182,6.902510750022884,3.3395060748135847
2025,10,-273.13377320143627,316.1597178763186,204.80472351981734,344.400080142208,322.12648141734826,27.594724577985055,23.4632102693449,79.50332105455152,4.431257881667392,45.79446076055774,3.082259094195166,32.67468716651473,16.127581235519273,1010.2000329491573,15.004712357894846,265.769368298882,8.547327851545361,34.26203856033817,72.59062932385052,1.3075069627316367,5.79919978206749,8.858298790781191,5.078794431071742
2025,11,-796.5780079807155,280.0461253933754,161.55442413970013,329.625074976866,240.17594138778804,27.867777814673687,24.017235540199906,80.58046010794251,4.848007982069589,50.38031656831208,3.0231548106859805,32.32904693948103,13.896918394534836,1009.2446205936706,15.753837454312702,254.5142515106163,8.315844755450087,35.712589353645626,74.30136079241868,1.372838582427903,5.5057302702067545,8.743034174283935,4.825718352600006
2025,12,123.661022147513,472.73253119901347,282.08762677929917,467.27185994455067,475.38300720123516,28.058869453820193,24.418539923367845,81.2796873535332,5.421521289895651,52.10562536408679,3.321269687413661,31.523071180062345,13.52680514763719,1008.669012590391,14.053094481972721,243.2060561497119,7.99091055693296,34.07019714574767,78.46385446856368,1.4525244109515683,5.786350108851138,9.044024092244513,5.563907335693443
2026,1,2181.2075210512266,1293.3524961806252,744.8101312831059,1461.865825902787,1404.6569301661802,27.997173907724417,24.29080740055568,81.33629006050049,5.687389649121968,63.434262016204,5.200849733012689,27.433263425090274,17.55090160116758,1009.4538879173856,10.085190141106523,203.46743080172928,7.330685988567041,31.48135091856068,71.00346355878742,1.7590928356234272,13.675877935025483,23.264204398102493,16.633522701504717
