year,month,corn_production,ammophos_price,ammosul_price,complete_price,urea_price,tempmax,tempmin,temp,dew,humidity,precip,precipprob,precipcover,windspeed,sealevelpressure,visibility,solarradiation,uvindex,severerisk,cloudcover,conditions,retail_corngrits_price,wholesale_corngrits_price,wholesale_corngrains_price
2025,1,3122.2395559297292,545.6116830644933,328.60331164453964,594.7007256148354,558.8240917978837,31.506376825735856,24.28558077079674,27.67634268408142,23.692402257136166,79.98698471789055,5.148446928283288,49.895471946212524,3.638161030297141,16.618651395171895,1010.0084337385508,13.50182759306955,225.85047452596427,7.599996648788782,25.415661560035232,72.87320719960701,1.4251828401612343,15.684544537657757,14.189630754406949,9.223680068743022
2025,2,1636.1628058227943,1512.1810870541958,828.0006499576702,1609.6386626628664,1586.3457395973892,34.82566337972594,27.070174114575934,30.62655282395059,26.862912884607624,82.07842114218042,5.178244159576887,63.58156109802246,5.028907416945486,15.915013043857101,1008.6838727820767,10.163163696693232,218.2274033910694,7.7374186729119145,25.348508638727026,75.52430903012294,1.7237069318058218,36.431360130852454,34.106476894115076,23.086255795702698
2025,3,3676.7068552976125,707.2364943222783,405.08163103561674,756.4998537808497,731.6241627136478,32.32241094370886,25.0237875104919,28.477127982646437,24.667611618117633,80.94789642043946,5.158630671056788,54.2799116410996,3.8680177601828234,15.276822797786025,1009.2012418551836,12.908447195517397,215.39936136457027,7.359746394409036,27.161572670118858,75.20218246931665,1.514224291694262,18.01198620831906,16.532848458082185,10.988919166874155
2025,4,961.2232905154815,1089.394667473396,637.7504459140255,1237.5990499245527,1202.39342956576,36.46954033807788,28.43803336665195,32.09846915387101,28.257381663552678,81.5047559030809,5.179479434691245,63.84741059069472,5.2282691618989645,16.649777627526674,1009.2785056175885,9.288501702786448,192.76291827449904,7.048296427232032,22.127778459182764,72.04990138251742,1.794812274882652,29.399101031347755,25.49251865524934,16.285486444290086
2025,5,30.50811506435275,1336.8895388034907,770.0798412234399,1501.625923270476,1463.3669690594252,37.064183019853544,28.89846760458971,32.572333423631676,28.68804821939125,81.59222815635144,5.183049930876933,65.70516870125823,5.568814009209433,17.342951094310763,1009.3612949503263,8.509543627513665,198.051213770118,7.286900466437082,20.91417283961289,71.41937676408327,1.8386719335750001,35.490316793824604,31.30193586440032,20.249594690780157
2025,6,4249.1291748507065,495.1899488370327,284.7046890739184,500.69523265139287,471.4709108221941,29.83344536862819,22.91187803569659,26.217405032769932,22.273392218205572,79.97207618665304,5.14176097717842,46.8514244748211,3.1427814716477656,15.887108282691656,1009.8086406376198,14.879281786926299,237.19374888815082,7.803919647998548,27.898569438031473,74.78332284648968,1.3217569560341857,13.027370180420803,12.65979778997098,8.63907534930837
2025,7,3163.248104594939,433.11549543210276,272.89480453548094,482.34357293337234,444.16842779958097,31.344922026935365,24.147189377846246,27.530715029913154,23.517198979451734,79.74560953874983,5.1458592674084205,48.69548633349007,3.5377279939106074,16.780759901012146,1010.1866209023771,13.714480285933746,224.90930363369853,7.546519330854039,25.108099749322832,72.31527458195148,1.4042245193996834,13.469549621599526,11.917538192559277,7.575866417972463
2025,8,3947.616624471266,463.3443023157488,281.3486706194235,506.27955080333777,477.7574798381538,31.741740029093307,24.536075148395696,27.962399740230808,24.09973805959055,80.45221625421689,5.1523216629008175,51.35539987440154,3.583658821922171,15.481709011931684,1009.532962314024,13.55816992807695,214.88990061698996,7.271527872206846,26.921875215697696,74.35452244832231,1.4557754287863816,12.938042181114952,11.509005673755723,7.426691197735181
2025,9,5798.007245939516,362.7628177984079,202.42825368797276,341.00624482679996,323.9264677574465,29.373897134667345,22.606512797423875,25.91845395386821,22.143939078036112,80.54033117414284,5.143528042792054,47.27052286606852,2.847030578563846,14.132241302934432,1009.1280690663345,15.577856836839146,228.37229817798288,7.4773786172945975,30.895623361517437,77.47946318877075,1.3130298658661417,8.25216689415015,8.469066658955626,6.020410210174248
2025,10,4087.8050578150433,532.4872959784807,303.6589475646906,536.5349055992701,506.03272953692795,29.6671139097416,22.75968524913037,26.04978747023665,22.078282411956195,79.87388676720599,5.140548448538224,46.39046474197528,3.137434030811562,16.136210670562406,1009.9036736676265,14.931844818531374,241.3352801528854,7.921895816863881,27.69434994763219,74.58255250989134,1.3085337798582728,13.964062522371705,13.669323240342578,9.367468725590243
2025,11,5848.097409703652,548.1133186769184,295.8990051624569,534.5941902500053,523.9582647303105,30.25502064910995,23.371049387298342,26.738313387842993,23.072920400831777,81.2483649657952,5.152291719509262,51.143258904138406,3.143506148410296,13.42518446491934,1008.5930608113089,14.830897285526248,221.3904188632764,7.352969941446084,31.602476686691034,78.80535989654561,1.396846194348619,11.760278405546387,11.817495189431725,8.384576734984307
2025,12,5486.921869746584,424.14807421507794,243.4796396186939,433.9788414232171,419.0054014099951,31.095124179367417,24.070642096719723,27.48861427826739,23.801212262391687,81.11324788658705,5.154260701722441,51.92726848325276,3.2961650148736226,13.703809606508656,1008.7756029672795,14.302563282336052,210.66653038930554,7.08045207579805,30.25993876930113,77.49608963872345,1.4407824961812281,9.949007255698234,9.314010453541641,6.310623041042788
2026,1,809.6621878857841,1031.608842082096,611.4150337072933,1184.3142534654908,1146.3987969292502,36.49399307010401,28.449088548722102,32.10915950518876,28.2347035737439,81.31194659415323,5.178091516156809,63.23064547035881,5.214500586960469,16.922370038924214,1009.4518520079973,9.294336132608123,192.21501646438355,7.028115999531451,21.57577431290224,71.39485465776988,1.7879794280796872,28.514138223818463,24.46665781248589,15.481429917949356
