year,month,corn_production,ammophos_price,ammosul_price,complete_price,urea_price,tempmax,tempmin,temp,dew,humidity,precip,precipprob,precipcover,windgust,windspeed,sealevelpressure,visibility,solarradiation,uvindex,severerisk,cloudcover,conditions,farmgate_corngrains_price,retail_corngrits_price,wholesale_corngrits_price
2025,1,-772.2558046288177,438.65687166949647,297.1356093332106,493.210669878481,512.5965799264595,31.54417461692294,24.2822306136001,27.709248189034277,23.578064726167646,79.49570306651279,4.9546223198239545,49.42286283919759,3.5266749868215754,31.35886664213848,17.020799867588494,1010.1073619660193,13.147552806171461,235.37856279833704,7.829213728367009,15.970463110686723,72.33360607539976,1.4269094797465485,7.344522155490218,15.130135234655654,11.900572108098174
2025,2,7384.705896403888,1253.7613798626771,718.7693778236353,1379.1041403263735,1349.377302953937,32.13056111921745,24.6653523103348,28.109506917297974,24.566009290505285,81.90131132575061,5.737166110834437,63.11370614904433,5.0270252359717915,27.76142976587738,16.256785772323212,1008.948562474685,10.296004102461552,203.3227662118852,7.265286710711365,20.653261466133614,73.9867107138108,1.743614762557847,14.320027924681305,33.89681527878611,27.793216990537644
2025,3,2555.482997296378,709.8763786715062,418.1232430165401,761.8447680712088,748.1391672549362,31.745832596403414,24.50973251048859,27.93785877255083,24.185311750018894,80.95233193656614,5.256756952894882,54.18993993570825,3.8662041459601824,30.357636911434156,15.314092212302171,1009.230263037442,12.95376932597128,224.87028517010367,7.616792096560658,18.103380673782056,75.03010677416285,1.5164335066779557,9.362157635685335,18.988371938131422,16.345492026123395
2025,4,4693.554575201953,1058.807705425208,657.3057505767356,1215.9535647647208,1240.9744773826096,32.11562616821102,24.584677727219425,28.083292999942167,24.289052154880704,80.9199534442684,5.744288649868999,63.33493373484248,5.047597945376268,27.752400838316703,17.702903926029933,1009.3379866646452,8.948646776838473,193.44738429270365,7.032964954382777,18.7690069872545,71.78623154707611,1.7770035972639633,12.28805941837333,32.87087015152042,24.156735916359423
2025,5,10997.014010221697,1659.7354243273421,928.5419278791051,1824.1285112580154,1761.8328048189433,32.298590964600166,24.664946994011554,28.073555696763947,24.58929965722287,82.27267263448655,5.877303607305102,66.42007414178454,5.724359749438705,26.392750979051584,17.379964257760207,1009.162424146805,9.322638691489033,202.77136210485696,7.358016497085529,22.627144598872377,72.5325315825047,1.832433576647535,18.670017009216714,44.47273391710314,37.09081623777041
2025,6,722.2069763003674,503.0325991072241,287.2645199619037,509.40525644039735,478.44359760468797,31.46363541306953,24.31679036800381,27.68469968160712,23.740697014873685,80.20152381040151,4.824648664509432,46.97003199898825,3.233309665653209,31.992191378340806,15.446529557463748,1009.8252039453289,15.10988477730848,250.77051856126855,8.15550896149766,17.209061852714285,74.63825113786345,1.3381104219439628,8.219458313437833,12.709874901605644,12.85720430382463
2025,7,-1110.114426510423,405.0317390161854,277.69046117777543,454.48420363733385,472.9657554537407,31.502628235886622,24.249068180627788,27.66848676133963,23.498242533054817,79.34480680631128,4.890396861981607,48.36928254010263,3.4408224123619533,31.589276943532013,17.11918727322967,1010.2188365790533,13.409124977953866,238.95956600265617,7.904228599014786,15.78523561638778,72.1585350103162,1.4021619741334703,7.152425541654047,14.285244139948873,11.357829386278524
2025,8,-40.36871481395792,464.0684774003548,299.8993428658832,505.4509641650875,516.8527327336269,31.606025615018535,24.410047304398688,27.84933807146158,23.910959616185238,80.19283374482134,5.082184126075177,51.09783530974778,3.5030911933513096,31.216190840308798,15.725204754036497,1009.5498067208379,13.323270925636393,229.49010966782498,7.677643941168029,16.54335098052394,74.2824146407579,1.4504393398454773,7.115075147065852,14.026511662360463,11.49342455337478
2025,9,273.05545243475353,385.5078726373722,212.8127740055861,360.55645279024975,329.88891389253695,31.46314395554113,24.45544925259943,27.84581531050653,24.097402979820018,80.85298702514692,4.901425822649941,47.395329864682594,2.9347567433723185,32.38010421328562,13.555786912621159,1009.1345973756904,15.774881536555995,245.64019913605352,7.979995809261524,17.174235476196372,77.39222715441565,1.3252180589378035,6.436292635625918,7.51136981327295,9.078324351095887
2025,10,736.4667464731756,511.13892102313366,290.99584687297465,518.3210866132686,485.0609236787641,31.447510309116797,24.288710140338736,27.648835186307814,23.673072852775302,80.0924465323885,4.7888644538606115,46.48493334161958,3.235848854325269,32.03607028912688,15.675173800285393,1009.9439004895374,15.177626765074251,253.20173814502323,8.215928970561947,17.20430385684952,74.2957084117404,1.3286337226425644,8.43825216126529,13.063419165074492,13.243116862872455
2025,11,1912.828818505208,534.1636988287737,290.3543103555385,521.4490167673648,485.3686023048067,31.616689826893374,24.59456700327022,28.004822208408562,24.44636388718946,81.58462229482706,5.137108086463876,51.21127377419907,3.2318522523914766,31.558728819038436,12.891230559054122,1008.6390731153859,15.064348595549518,233.97395586065522,7.736917244449359,18.14684568707844,78.49076657246553,1.409438995212863,7.386858561408673,10.539479666562102,11.479793136366368
2025,12,968.0721702685842,473.7342857486765,277.6499983044487,478.654357002928,466.62562524571695,31.634623371392845,24.574992905886006,28.01240666202444,24.36295630359883,81.23089585370931,5.17539683097818,51.91026722444087,3.300299660884903,31.407775115511527,13.514134764634207,1008.762694775972,14.311270688299146,227.79175820144883,7.598595606480217,17.446566063314748,77.5616220635402,1.4386888226625096,6.681654831968217,10.755618124168677,10.352617352532661
