year,month,corn_production,ammophos_price,ammosul_price,complete_price,urea_price,tempmax,tempmin,temp,dew,humidity,precip,precipprob,precipcover,windgust,windspeed,sealevelpressure,visibility,solarradiation,uvindex,severerisk,cloudcover,conditions,farmgate_corngrains_price,retail_corngrains_price,wholesale_corngrits_price
2025,1,571.9010789218896,533.066498318185,332.6897033342684,575.7512918717402,546.1839128000647,31.57565736057604,24.31432672589743,27.727746919064764,23.7023343036574,79.88860195954581,4.968333657469536,50.16398138969362,3.8378699517124915,33.45917232021333,16.703421670998182,1009.9920863562884,13.306755501015346,230.30085499732377,7.8169383673412085,15.07480942828306,73.12728807138564,1.4296024528344589,7.212930099789617,10.99079338823185,11.935172680941378
2025,2,486.2535277019638,1209.339258053733,696.4432692073024,1332.8046700422638,1331.8114652403965,32.125117722788275,24.655325147714173,28.113574218418627,24.536208616381057,81.76634774300862,5.7457842428421415,63.31596820936397,4.9924341936308565,27.462387571669538,16.34907543548644,1008.9765138977021,10.26319952306028,200.6058559226267,7.21627708389849,19.861419255519394,73.68210176656925,1.747940579445391,12.4178561556501,22.22419582894861,23.33696188220847
2025,3,663.0830180644261,659.7246915387877,395.8255677739071,713.3074762477845,694.5418103193078,31.747527383633955,24.507342859128304,27.95807889677075,24.187958785120404,80.85211556969882,5.268290046556189,54.72140225469707,3.9962421971264916,32.111634437665884,15.387436799623345,1009.2343082346864,12.818755488230408,216.5663775463181,7.49989149527741,15.147693831821499,74.96500602730134,1.5215464163223444,7.913454334752146,12.594917755420056,13.461415293580103
2025,4,432.9192481897858,1292.853203337785,753.388058767574,1437.811618968859,1435.0131994302792,32.179362305337804,24.637435229028966,28.10506615653474,24.49589393140982,81.66265895114852,5.788995477733721,64.77774989749196,5.374544742704529,27.08851142080907,17.063190680222533,1009.1323691099229,9.571874989797266,197.51899521061387,7.148349385600113,20.563217924686697,72.79536322686789,1.7874520449396414,13.211755933536097,23.820212021769976,25.296810289109544
2025,5,166.25352874741657,1667.7836303503937,892.632266155415,1795.0280138980816,1819.8061981925275,32.24247175400595,24.62399100537808,27.94605003663287,24.370992390728706,82.11593962594714,5.841151292969585,62.91915418684607,4.566220693762546,22.216304265296877,17.54249823213587,1009.3319146339512,9.763461574481198,217.15280319943577,7.778638564652653,26.476466799547282,71.46854254208358,1.8031304207132024,16.35591642428483,31.000978860950113,30.62752153599604
2025,6,601.8544652213163,394.58046199967066,223.1424173997293,386.45391705699876,362.5269331690215,31.42338920352967,24.28865476197001,27.64339782303179,23.610666013779376,79.88966354404715,4.796921846430045,45.40145214878976,2.850915903339171,33.70868300557348,15.739358379760745,1009.9455544256732,14.911181650469416,244.6412303031875,8.17508449579077,14.747468943994619,74.12113147911202,1.3231779565834927,5.971837757310482,8.599946465299013,8.468311605581903
2025,7,524.5756309531125,542.236655196255,320.8941716979316,569.3456495417122,543.7650842057992,31.527283348460667,24.2793333569923,27.651979109636088,23.594215822251254,79.82295335140154,4.895955411359118,48.17506975355286,3.4712221487321244,32.95300543768053,16.74832797367219,1010.1193281613184,13.762127077931723,238.45682808366018,8.038559551970735,15.903926773011918,72.88472241887274,1.3953787577810886,7.323057636002545,11.3404261310817,11.770933207636745
2025,8,627.595582288402,585.2128668193109,337.3248910639668,611.5718451262801,593.8357408924712,31.6296949953846,24.433034029291605,27.835274714998256,23.982410103737404,80.57612910508185,5.100067459274214,51.019558428811706,3.450754990753353,32.299704638161074,15.419404026739812,1009.471692902115,13.697804220262356,228.7392303654542,7.8057577920940275,15.410504356113876,74.71687409797579,1.4461705472147273,7.369542343945113,11.547201405940882,11.828891790548369
2025,9,707.5449650735195,367.51250682262616,171.85897275084426,320.80322235926724,310.9985848976794,31.42291766036173,24.425254660492474,27.75679678551399,23.929456332852116,80.68980680900557,4.8851299710953455,44.729325496874026,2.05997998349784,32.85167966841715,13.734888514818294,1009.2698815566431,16.011986760572995,246.56882332982786,8.243975809499432,14.463995687787673,76.59305858386165,1.29956848850901,5.368894771111343,7.643439583342115,6.44693624749857
2025,10,574.5739089012854,394.5844628867926,221.90858788988407,385.08007988872123,360.55591748394363,31.402377683290947,24.25791998039632,27.60146491128902,23.529826825525117,79.75688304843563,4.755470552351419,44.70071040792641,2.8115885153180216,33.69651955354824,15.992469217251141,1010.076233072242,14.96090993719065,247.38946373982162,8.24593322908106,15.011414397633303,73.74590622020787,1.3116874047757463,6.0312299107847025,8.724793996638255,8.546227767421442
2025,11,794.2552304631208,446.3159513737046,233.85346566214866,428.82222879165056,419.66824352077674,31.582508493661553,24.561035729919645,27.96082989543686,24.29508322476512,81.24028159240787,5.135940704286774,49.76673080158048,2.662411556104985,32.61652456600787,13.190362636772875,1008.7717153934409,15.05191331269225,229.30186058391882,7.808556236759756,13.755924741347457,77.58724356945373,1.3972593642715978,5.828367002501295,8.524562163298356,7.968381366062204
2025,12,814.0118353265575,454.17224371848715,261.22710002172244,460.42147232234856,445.0588124619535,31.635621850723336,24.569569206554036,28.012438601039932,24.339895345563367,81.16039335807993,5.195879369204633,51.94154566534553,3.1848162535534357,33.16956860887518,13.56817376199507,1008.7820962059178,14.35289350128187,220.9371008677217,7.580980495358517,13.128875732228892,77.29513981818963,1.4386685147306721,5.936085753805855,8.581154162224152,8.725284811544725
