year,month,corn_production,ammophos_price,ammosul_price,complete_price,urea_price,tempmax,tempmin,temp,dew,humidity,precip,precipprob,precipcover,windgust,windspeed,sealevelpressure,visibility,solarradiation,uvindex,severerisk,cloudcover,conditions,farmgate_corngrains_price,wholesale_corngrits_price,wholesale_corngrains_price
2025,1,648.1376195247867,523.4167366678303,341.9610696218733,559.2120575498266,549.8088176571546,31.55191185905549,24.331509607308224,27.743880098633916,23.760061658935342,80.04826565225913,4.932107420468853,50.51707968205665,3.9159979036720642,33.31270983813002,16.687652352772318,1009.8760324170435,12.917919352043668,226.4107930408045,7.698772862945418,13.805086598530693,73.88253922485586,1.4431844824229216,7.114176778399212,11.992986416910526,6.71739631187279
2025,2,437.67016002331366,1229.022542407256,694.968619329753,1353.8473488980017,1342.855022691634,32.13568451203545,24.64698397037982,28.095550182427978,24.501097780514016,81.68745231115888,5.827849252260293,62.90181803192445,4.8738398943504535,27.310451950628135,16.339103569559484,1009.0395747950244,10.53367520096981,204.0679381046166,7.32114255523598,20.827281135763315,73.32038733317376,1.7424211826714142,12.59041417288131,23.460936603097025,16.140970163001043
2025,3,843.2644503455376,598.1810482593282,400.0639813690941,649.2693643208404,656.5046531363696,31.699674652815318,24.54151704380074,28.012279037221603,24.305939530600256,80.95227157881541,5.45248221379957,56.02252169360304,4.348865063115852,32.67318220652594,15.444219022338189,1009.0302448482948,11.995933184878481,205.97562923318583,7.178795234015212,12.193498189423849,76.68152193238609,1.563687283554927,7.397423744112928,13.088726616957274,7.336222979020022
2025,4,540.0475133393411,1258.305237142944,756.1852102664998,1402.0254928176146,1412.9592434846709,32.15131611623251,24.657831087651946,28.134777114239867,24.565186693556115,81.68496961511889,5.985764726776765,65.50443802533891,5.566895460713624,27.409996397331383,17.097761805827986,1009.0135841205085,9.09737340998879,191.51635624610572,6.966311196941717,18.886430827505933,73.82352394139099,1.8178725219393712,12.927542220969656,25.09929867083497,16.268020243856938
2025,5,58.220000023648026,1580.0940413253338,845.3759229090429,1742.1245987902075,1709.4493023918403,32.31624062800516,24.57845161159178,27.976065927119926,24.273982655770098,81.5688216726259,5.733439304121347,63.76406134197782,4.944125312676249,24.337527928549633,17.725863320840688,1009.5902756901042,10.167616065485277,215.71965204006028,7.737307739187287,27.271233397786318,69.40474640117014,1.7795590380765205,15.697095170088176,29.349032096277597,21.307575538845867
2025,6,534.6727749313213,390.30199779709073,212.95212346321932,388.9509307569533,350.19401840235514,31.45103272021962,24.270514116431162,27.63895506708942,23.56414249298632,79.81427506843494,4.591894137666927,45.29872295373684,2.8586435072832614,33.98178492024701,15.756387153985543,1010.0413819016363,15.162052680097531,246.5319909318423,8.232909110781065,15.506688071878898,73.21662315731902,1.300713504731192,5.942561190634535,8.28759373567118,5.300116607501593
2025,7,583.6108187468999,504.8600047326836,318.1511076740717,533.761168308265,516.0581122769072,31.520336977112194,24.28650209231798,27.680559711019086,23.634835417451,79.86668880884679,4.792558174307985,48.85202792441328,3.6783795964511796,33.395202305095225,16.782225975041115,1010.0556400697925,13.413581665904758,233.3423789293165,7.883858415461219,14.603984784704267,73.18017452704225,1.4028477377922641,7.008744739275528,11.462781012610549,6.60719006168938
2025,8,584.8610966550114,588.3812390718085,332.12779596837936,618.2493563361786,591.0964882447515,31.643970594810817,24.422952821353995,27.82870330142795,23.951795469271048,80.52216459943,5.031177670470967,50.86816935156412,3.4241871548999825,32.389259076181474,15.425827344326535,1009.5324242807073,13.888752219826529,230.53674690425123,7.8604452439729755,16.01759795614919,74.24421186906744,1.4340886229291385,7.400944996938961,11.775844206997817,7.735891879154906
2025,9,515.8299509847784,360.1821487121488,140.3266842997109,335.6579015398893,274.36879660820705,31.495211499426077,24.375547863294962,27.73699047027553,23.78622164929743,80.32781826462174,4.646712696744473,44.316079100435445,2.03697392598923,33.70377994098044,13.805465756282047,1009.5703506359534,16.86799676840519,253.4462951178184,8.453692636188663,17.077534174652442,74.30027304797574,1.2496391315282622,5.347630581172211,5.946755124462925,5.053254189897359
2025,10,483.76629321670043,396.30228654773236,210.70043000396254,394.1886863983018,351.40645241461607,31.437433130869753,24.23479188054781,27.5912324862742,23.468166409465837,79.67035750059776,4.504951113104838,44.457671678899715,2.7841627622049714,33.9259183787734,16.00366490949318,1010.1989597323177,15.308960901281353,250.46187200197346,8.339628539609464,16.115049636389926,72.58109622374667,1.2829156951010887,6.052022588387501,8.392443303778009,5.467143746029819
2025,11,534.1484572590925,511.2221756300496,216.43550010712352,505.6018539685392,446.82724307604076,31.653215628769434,24.508645453469637,27.89388960486425,24.112396652838598,80.95921748378704,4.977199793174563,48.19751459889221,2.2647903000555516,32.36448143088393,13.16730428857295,1009.1102900313538,16.314314106070583,243.76231037001526,8.247285528004937,18.050947973156326,75.15555651510357,1.3368809302705458,6.393398664441406,8.180198985817924,6.970455275695997
2025,12,955.530478874789,383.67951688930043,255.3221161577967,394.75075763552013,390.55006119945756,31.602589556291072,24.59282339661014,28.06586775356962,24.424423177660103,81.13430308707102,5.387563655384739,53.252075638742326,3.5661341332120173,34.08782727307667,13.659464180359123,1008.6543626975692,13.734330335167328,211.54770255557287,7.296637751382917,10.736634749611085,78.5782764461934,1.471822782402505,5.36118470563315,8.147339278378013,4.468924256713024
